Date,Atlantic County,New Jersey,Cape May County
1/31/2000,128685,186617,163946
2/29/2000,129186,187388,164994
3/31/2000,129592,188034,166111
4/30/2000,130459,189423,168377
5/31/2000,131374,190630,170524
6/30/2000,132281,192006,172708
7/31/2000,132380,193461,174852
8/31/2000,132529,195248,176674
9/30/2000,132835,197165,178362
10/31/2000,133679,199048,179694
11/30/2000,134304,200631,181269
12/31/2000,134876,202039,182752
1/31/2001,135694,203405,184703
2/28/2001,136581,205130,186992
3/31/2001,137335,206845,189352
4/30/2001,138241,208724,191588
5/31/2001,139155,210458,193106
6/30/2001,140056,212389,194729
7/31/2001,141026,214382,196232
8/31/2001,142057,216575,198371
9/30/2001,143210,218906,200805
10/31/2001,144364,221332,203532
11/30/2001,145465,223424,206510
12/31/2001,146601,225299,209105
1/31/2002,147555,227098,211497
2/28/2002,148639,229128,213260
3/31/2002,149713,231263,215157
4/30/2002,150810,233429,217128
5/31/2002,151872,235624,220154
6/30/2002,153127,238065,223410
7/31/2002,154450,240751,226935
8/31/2002,156302,244116,230162
9/30/2002,158363,247754,233243
10/31/2002,160936,251520,236684
11/30/2002,163407,254804,239982
12/31/2002,165720,257897,243655
1/31/2003,167508,260905,247341
2/28/2003,169272,263930,251281
3/31/2003,171099,266943,255404
4/30/2003,173394,269982,259648
5/31/2003,176129,273137,264347
6/30/2003,179036,276482,270145
7/31/2003,182003,279955,275462
8/31/2003,184589,283525,280498
9/30/2003,186763,286760,284430
10/31/2003,189308,289652,288639
11/30/2003,191844,292087,292595
12/31/2003,194474,294463,296994
1/31/2004,196496,296910,301278
2/29/2004,198436,299562,306570
3/31/2004,201037,302633,312160
4/30/2004,203890,305953,317708
5/31/2004,207584,309853,322978
6/30/2004,211223,313896,327940
7/31/2004,215639,318142,333750
8/31/2004,220239,322455,339907
9/30/2004,225061,326634,345735
10/31/2004,228958,330754,353736
11/30/2004,232114,334484,359528
12/31/2004,234968,337993,365229
1/31/2005,238089,341360,367336
2/28/2005,240839,344574,371880
3/31/2005,243401,348011,376442
4/30/2005,246961,352140,382191
5/31/2005,251009,356640,387725
6/30/2005,255708,361311,393770
7/31/2005,260311,365626,399535
8/31/2005,265261,369885,405077
9/30/2005,269708,373875,410715
10/31/2005,273960,377912,416699
11/30/2005,277509,381734,422319
12/31/2005,281511,385262,427294
1/31/2006,284917,388111,432202
2/28/2006,287287,390949,436320
3/31/2006,290556,393819,439981
4/30/2006,294025,397068,443296
5/31/2006,298045,399969,445840
6/30/2006,300682,402363,447482
7/31/2006,302732,403657,447692
8/31/2006,304807,403970,447819
9/30/2006,305709,403739,446450
10/31/2006,306427,402920,444666
11/30/2006,306405,401879,442621
12/31/2006,305622,400310,440532
1/31/2007,304956,398863,438427
2/28/2007,304107,397954,435145
3/31/2007,304496,397918,432010
4/30/2007,304162,398190,428219
5/31/2007,304406,397967,424310
6/30/2007,303835,396761,420281
7/31/2007,302267,394866,416919
8/31/2007,299670,392805,414866
9/30/2007,297293,390931,414387
10/31/2007,295617,389255,412930
11/30/2007,293655,387492,411237
12/31/2007,290502,385691,409827
1/31/2008,287685,384201,409105
2/29/2008,286621,383047,411034
3/31/2008,286266,381310,409752
4/30/2008,285286,378581,410181
5/31/2008,282618,375022,413503
6/30/2008,279986,371710,418818
7/31/2008,277008,368637,422945
8/31/2008,273798,365682,421735
9/30/2008,270614,362567,419447
10/31/2008,267158,359211,415500
11/30/2008,263421,355640,410347
12/31/2008,259744,352565,406427
1/31/2009,256221,350413,408249
2/28/2009,253485,348575,409255
3/31/2009,250500,346644,411539
4/30/2009,247178,343938,408314
5/31/2009,243640,341249,402499
6/30/2009,240152,338602,394035
7/31/2009,237763,336286,386402
8/31/2009,236326,334335,382548
9/30/2009,235200,332710,382867
10/31/2009,233745,331597,382714
11/30/2009,232036,330878,383347
12/31/2009,231213,330702,381806
1/31/2010,231189,330673,381328
2/28/2010,231931,330764,380928
3/31/2010,231412,330575,381350
4/30/2010,231013,330386,382857
5/31/2010,230194,329965,381801
6/30/2010,229890,329323,380254
7/31/2010,228695,328220,377164
8/31/2010,226824,326597,376668
9/30/2010,225779,324481,374645
10/31/2010,224752,322097,372786
11/30/2010,224461,319914,369856
12/31/2010,223356,317955,367260
1/31/2011,222519,316433,365551
2/28/2011,221254,314883,363778
3/31/2011,220031,313233,363202
4/30/2011,218504,311235,361406
5/31/2011,215739,309011,359776
6/30/2011,212815,306691,357221
7/31/2011,210364,304225,356114
8/31/2011,209464,302172,355733
9/30/2011,208715,300385,354441
10/31/2011,207332,298754,351172
11/30/2011,205569,296895,349598
12/31/2011,204355,294984,349142
1/31/2012,204208,293615,350996
2/29/2012,204931,292743,351108
3/31/2012,205794,292453,352190
4/30/2012,206014,291715,352506
5/31/2012,205159,290976,352617
6/30/2012,203498,289828,351563
7/31/2012,201135,288812,350156
8/31/2012,199361,287704,349261
9/30/2012,197465,287048,349812
10/31/2012,196871,286827,349184
11/30/2012,197259,287047,349880
12/31/2012,198554,287399,350345
1/31/2013,199367,288262,354379
2/28/2013,198989,288989,356481
3/31/2013,198111,289907,356881
4/30/2013,196505,290447,354576
5/31/2013,195477,291429,350609
6/30/2013,194910,292770,347314
7/31/2013,195623,294363,345538
8/31/2013,196597,295949,345894
9/30/2013,197922,297166,346578
10/31/2013,199246,298275,346943
11/30/2013,199715,299475,347501
12/31/2013,199473,300442,349540
1/31/2014,199081,301560,349927
2/28/2014,199765,302267,351614
3/31/2014,200926,303698,352988
4/30/2014,202417,305047,355551
5/31/2014,202903,306443,355653
6/30/2014,203279,307246,354686
7/31/2014,202680,307619,353270
8/31/2014,201962,307594,352622
9/30/2014,200801,307176,352162
10/31/2014,200045,306669,352074
11/30/2014,199794,306142,352091
12/31/2014,199431,305875,351676
1/31/2015,198541,306033,351690
2/28/2015,197653,306755,351818
3/31/2015,196040,307138,350926
4/30/2015,194543,307718,349291
5/31/2015,193080,308122,349238
6/30/2015,192810,308598,351192
7/31/2015,192701,308592,352898
8/31/2015,191430,308373,354461
9/30/2015,189641,308294,355459
10/31/2015,187947,308252,356889
11/30/2015,186868,308493,357067
12/31/2015,186515,308604,356722
1/31/2016,186645,308447,355872
2/29/2016,186410,308476,355481
3/31/2016,185475,308702,355501
4/30/2016,183522,309420,354911
5/31/2016,182551,310035,355179
6/30/2016,181229,310610,355594
7/31/2016,180709,311007,357240
8/31/2016,179357,311127,357605
9/30/2016,178711,311246,357756
10/31/2016,177213,311528,358002
11/30/2016,176436,311900,357735
12/31/2016,175502,312316,357715
1/31/2017,175062,312933,356107
2/28/2017,175145,313592,355276
3/31/2017,175655,314899,354731
4/30/2017,176835,316092,356156
5/31/2017,177529,317812,359329
6/30/2017,178850,318617,361203
7/31/2017,180322,319556,362359
8/31/2017,182892,320328,362390
9/30/2017,184562,321426,363566
10/31/2017,186654,322380,365932
11/30/2017,188167,323450,368348
12/31/2017,188881,324640,371012
1/31/2018,188610,325964,372064
2/28/2018,187452,327539,373265
3/31/2018,187832,329083,373749
4/30/2018,188290,331078,374469
5/31/2018,189539,332393,375041
6/30/2018,190410,333550,375662
7/31/2018,191550,334049,376914
8/31/2018,192412,334448,379404
9/30/2018,192515,335083,382904
10/31/2018,192870,335848,386841
11/30/2018,192968,336703,388108
12/31/2018,193967,337445,388884
1/31/2019,195548,337770,388664
2/28/2019,197616,338207,389143
3/31/2019,199495,338792,388908
4/30/2019,200664,339712,388256
5/31/2019,201654,340725,388578
6/30/2019,202040,341322,388637
7/31/2019,202619,341826,389322
8/31/2019,202951,341733,389701
9/30/2019,203687,341515,392126
10/31/2019,203783,341390,394794
11/30/2019,203436,341550,397047
12/31/2019,203603,342463,398517
1/31/2020,203983,343292,398731
2/29/2020,205227,344521,399821
3/31/2020,206080,345634,401780
4/30/2020,207150,347421,406005
5/31/2020,208700,348354,410857
6/30/2020,210267,349289,417491
7/31/2020,212141,350368,423416
8/31/2020,214246,353521,427239
9/30/2020,218246,358174,428584
10/31/2020,223529,363826,432624
11/30/2020,228632,369303,440560
12/31/2020,233081,374725,449021
1/31/2021,234781,379020,457015
2/28/2021,236693,383498,463006
3/31/2021,237591,387809,470412
4/30/2021,241770,392961,477717
5/31/2021,246535,398903,491346
6/30/2021,252474,406066,505204
7/31/2021,258721,413550,520249
8/31/2021,266442,420382,533454
9/30/2021,272074,425560,548211
10/31/2021,275434,429591,559996
11/30/2021,276730,432974,568577
12/31/2021,279637,436198,576599
1/31/2022,283155,439840,584301
2/28/2022,288358,443866,595496
3/31/2022,294333,449099,605157
4/30/2022,304354,455250,617411
5/31/2022,308892,461753,624552
6/30/2022,312257,467384,632072
